0	-0.0875 
0.01	-0.0819248 
0.02	-0.0764485 
0.03	-0.0710701 
0.04	-0.0657886 
0.05	-0.0606031 
0.06	-0.0555127 
0.07	-0.0505167 
0.08	-0.0456142 
0.09	-0.0408047 
0.1	-0.0360875 
0.11	-0.031462 
0.12	-0.0269278 
0.13	-0.0224845 
0.14	-0.0181315 
0.15	-0.0138687 
0.16	-0.00969584 
0.17	-0.00561262 
0.18	-0.00161894 
0.19	0.00228526 
0.2	0.0061 
0.21	0.00982524 
0.22	0.0134609 
0.23	0.0170067 
0.24	0.0204626 
0.25	0.0238281 
0.26	0.0271031 
0.27	0.030287 
0.28	0.0333794 
0.29	0.0363797 
0.3	0.0392875 
0.31	0.042102 
0.32	0.0448226 
0.33	0.0474484 
0.34	0.0499787 
0.35	0.0524125 
0.36	0.054749 
0.37	0.056987 
0.38	0.0591257 
0.39	0.0611637 
0.4	0.0631 
0.41	0.0649333 
0.42	0.0666623 
0.43	0.0682856 
0.44	0.0698018 
0.45	0.0712094 
0.46	0.0725069 
0.47	0.0736926 
0.48	0.074765 
0.49	0.0757222 
0.5	0.0765625 
0.51	0.0772841 
0.52	0.077885 
0.53	0.0783632 
0.54	0.0787169 
0.55	0.0789438 
0.56	0.0790418 
0.57	0.0790087 
0.58	0.0788423 
0.59	0.0785402 
0.6	0.0781 
0.61	0.0775193 
0.62	0.0767957 
0.63	0.0759264 
0.64	0.074909 
0.65	0.0737406 
0.66	0.0724187 
0.67	0.0709403 
0.68	0.0693026 
0.69	0.0675026 
0.7	0.0655375 
0.71	0.0634041 
0.72	0.0610994 
0.73	0.0586201 
0.74	0.0559631 
0.75	0.053125 
0.76	0.0501026 
0.77	0.0468923 
0.78	0.0434909 
0.79	0.0398946 
0.8	0.0361 
0.81	0.0321034 
0.82	0.0279011 
0.83	0.0234893 
0.84	0.0188642 
0.85	0.0140219 
0.86	0.00895846 
0.87	0.00366991 
0.88	-0.00184784 
0.89	-0.00759892 
0.9	-0.0135875 
0.91	-0.0198178 
0.92	-0.0262942 
0.93	-0.0330211 
0.94	-0.0400027 
0.95	-0.0472438 
0.96	-0.0547486 
0.97	-0.062522 
0.98	-0.0705685 
0.99	-0.0788929 
1	-0.0875 
